symbol,name,industry,index_memberships
ANGELONE,Angel One Limited,Financial Services,NIFTY500
ANIKINDS,Anik Industries Limited,,
ANMOL,Anmol India Limited,,
ANNAPURNA,Annapurna Swadisht Limited,,
ANTELOPUS,Antelopus Selan Energy Limited,,
ANTGRAPHIC,Antarctica Limited,,
ANTHEM,Anthem Biosciences Limited,Healthcare,NIFTY500
ANUHPHR,Anuh Pharma Limited,,
ANUP,The Anup Engineering Limited,,
ANURAS,Anupam Rasayan India Limited,Chemicals,NIFTY500
APARINDS,Apar Industries Limited,Capital Goods,NIFTY500
APCL,Anjani Portland Cement Limited,,
APCOTEXIND,Apcotex Industries Limited,,
APEX,Apex Frozen Foods Limited,,
APLAPOLLO,APL Apollo Tubes Limited,Capital Goods,NIFTY500
APLLTD,Alembic Pharmaceuticals Limited,,
APOLLO,Apollo Micro Systems Limited,,
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Healthcare,NIFTY50|NIFTY500
APOLLOPIPE,Apollo Pipes Limited,,
APOLLOTYRE,Apollo Tyres Limited,Automobile and Auto Components,NIFTY500
APOLSINHOT,Apollo Sindoori Hotels Limited,,
APTUS,Aptus Value Housing Finance India Limited,Financial Services,NIFTY500
AQYLON,Aqylon Nexus Limited,,
ARCHIDPLY,Archidply Industries Limited,,
ARCHIES,Archies Limited,,
ARDEE,Ardee Industries Limited,,
ARE&M,Amara Raja Energy & Mobility Limited,Automobile and Auto Components,NIFTY500
ARENTERP,Rajdarshan Industries Limited,,
ARFIN,Arfin India Limited,,
ARIES,Aries Agro Limited,,
ARIHANT,Arihant Foundations & Housing Limited,,
ARIHANTCAP,Arihant Capital Markets Limited,,
ARIHANTSUP,Arihant Superstructures Limited,,
ARIS,Arisinfra Solutions Limited,,
ARKADE,Arkade Developers Limited,,
ARMANFIN,Arman Financial Services Limited,,
AROGRANITE,Aro Granite Industries Limited,,
ARSSBL,Anand Rathi Share and Stock Brokers Limited,,
ARTEMISMED,Artemis Medicare Services Limited,,
ARTNIRMAN,Art Nirman Limited,,
